,mun,v_blanc,v_nul,PSOE,PP,Cs,ERC,VOX,JUNTS,PNV,PODEMOS,Bildu,BNG,CUP,atur,atur_m24,atur_25_44,atur_M45,atur_h,atur_d,pob_t,esp,euro,asia,ame,UE,oce_apa,afr,h,m,m19,e20_29,e30_39,e40_49,e50_59,e60_69,e70_79,M80,Renta_neta_persona,Gini_medio,Edad_media,Poblacion,tam_hog_medio,por_hog_uni,Renta_neta_persona,Gini_medio,Edad_media,Poblacion,tam_hog_medio,por_hog_uni,Renta_neta_persona,Gini_medio,Edad_media,Poblacion,tam_hog_medio,por_hog_uni,Renta_neta_persona,Gini_medio,Edad_media,Poblacion,tam_hog_medio,por_hog_uni
1,2001,0.001455604,0.011644833,0.257641921,0.27510917,0.018922853,0,0.132459971,0,0,0.049490539,0,0,0,0.080560992,0.028645833,0.074858757,0.096604938,0.06400507,0.09811828,790,0.934177215,0.059493671,0.001265823,0.001265823,0.051898734,0,0.003797468,0.479746835,0.520253165,0.060759494,0.105063291,0.110126582,0.14556962,0.174683544,0.150632911,0.14556962,0.082278481,11132,28,51.6,724,2.41,31,11132,28,51.6,724,2.41,31,11132,28,51.6,724,2.41,31,11132,28,51.6,724,2.41,31
2,2002,0.004683841,0.007025761,0.332552693,0.243559719,0.028103044,0,0.156908665,0,0,0.021077283,0,0,0,0.145833333,0.040598291,0.128440367,0.188690476,0.081005587,0.252293578,519,0.907514451,0.082851638,0,0,0.082851638,0,0.009633911,0.560693642,0.439306358,0.08477842,0.088631985,0.115606936,0.117533719,0.132947977,0.121387283,0.163776493,0.138728324,9596,30,51.6,509,2.23,36,9596,30,51.6,509,2.23,36,9596,30,51.6,509,2.23,36,9596,30,51.6,509,2.23,36
3,2003,0.006803279,0.006356185,0.201743666,0.198122206,0.064910581,0,0.152593145,0,0,0.076147541,0,0,0,0.118658959,0.06707187,0.120494408,0.136092198,0.087513602,0.149391461,173329,0.949696819,0.014746523,0.002700068,0.015698469,0.013056096,6.92E-05,0.017088889,0.488591061,0.511408939,0.156136596,0.111752794,0.137628441,0.167444571,0.153119213,0.101189068,0.067063215,0.051924375,12294.73663,29.1,41.62922253,172083,2.632556034,26.2875008,12294.73663,29.1,41.62922253,172083,2.632556034,26.2875008,12294.73663,29.1,41.62922253,172083,2.632556034,26.2875008,12294.73663,29.1,41.62922253,172083,2.632556034,26.2875008
4,2004,0.005025126,0.006700168,0.333333333,0.199329983,0.038525963,0,0.154103853,0,0,0.028475712,0,0,0,0.140188834,0.061868687,0.105791962,0.190536013,0.079744817,0.204314721,692,0.976878613,0,0,0.00867052,0,0,0.014450867,0.514450867,0.485549133,0.085260116,0.124277457,0.080924855,0.108381503,0.174855491,0.13583815,0.098265896,0.148843931,8943,29.6,51.2,665,2.19,39.3,8943,29.6,51.2,665,2.19,39.3,8943,29.6,51.2,665,2.19,39.3,8943,29.6,51.2,665,2.19,39.3
5,2005,0.014440433,0.012635379,0.232851986,0.25631769,0.041516245,0,0.16967509,0,0,0.041516245,0,0,0,0.175123762,0.1125,0.156177156,0.207296849,0.139015152,0.218297101,658,0.905775076,0.060790274,0,0.022796353,0.060790274,0.003039514,0.007598784,0.512158055,0.487841945,0.095744681,0.107902736,0.110942249,0.12006079,0.179331307,0.113981763,0.095744681,0.141337386,9591,29.7,49.5,670,2.2,36.7,9591,29.7,49.5,670,2.2,36.7,9591,29.7,49.5,670,2.2,36.7,9591,29.7,49.5,670,2.2,36.7
6,2006,0.001745201,0.001745201,0.312390925,0.279232112,0.034904014,0,0.085514834,0,0,0.02617801,0,0,0,0.165131579,0.029100529,0.188534279,0.195075758,0.095454545,0.2609375,654,0.987767584,0.001529052,0,0.003058104,0,0,0.00764526,0.555045872,0.444954128,0.097859327,0.091743119,0.091743119,0.146788991,0.142201835,0.126911315,0.134556575,0.110091743,9297,27.2,49,647,2.3,39.5,9297,27.2,49,647,2.3,39.5,9297,27.2,49,647,2.3,39.5,9297,27.2,49,647,2.3,39.5
7,2007,0.004916421,0.010816126,0.415929204,0.157325467,0.017699115,0,0.051130777,0,0,0.077679449,0,0,0,0.125353107,0.044573643,0.123522459,0.147303922,0.099537037,0.158119658,1170,0.946153846,0.04017094,0,0.007692308,0.039316239,0,0.005982906,0.528205128,0.471794872,0.074358974,0.106837607,0.117094017,0.105982906,0.163247863,0.142735043,0.120512821,0.137606838,9712,29.4,50.2,1186,2.03,45.7,9712,29.4,50.2,1186,2.03,45.7,9712,29.4,50.2,1186,2.03,45.7,9712,29.4,50.2,1186,2.03,45.7
8,2008,0.007252947,0.013599275,0.2475068,0.155031732,0.028105168,0,0.16137806,0,0,0.049864007,0,0,0,0.160493827,0.100877193,0.161161161,0.176258993,0.137545788,0.18602282,1351,0.971132494,0.013323464,0,0.011843079,0.011843079,0,0.003700962,0.520355292,0.479644708,0.123612139,0.094744634,0.1176906,0.143597335,0.175425611,0.119911177,0.091783864,0.089563286,9717,29.7,46.4,1307,2.33,40.1,9717,29.7,46.4,1307,2.33,40.1,9717,29.7,46.4,1307,2.33,40.1,9717,29.7,46.4,1307,2.33,40.1
9,2009,0.006873557,0.010977174,0.265914337,0.183585535,0.051141318,0,0.109617851,0,0,0.075096179,0,0,0,0.134911225,0.077333861,0.114463453,0.171908387,0.083353246,0.188346128,24419,0.955035014,0.012735984,0.005856096,0.016954011,0.01097506,4.10E-05,0.009377943,0.498259552,0.501740448,0.139317744,0.107621115,0.125762726,0.161595479,0.163028789,0.112781031,0.075310209,0.063434211,10793.37862,27.5,43.40142587,24336,2.552961867,26.48032133,10793.37862,27.5,43.40142587,24336,2.552961867,26.48032133,10793.37862,27.5,43.40142587,24336,2.552961867,26.48032133,10793.37862,27.5,43.40142587,24336,2.552961867,26.48032133
10,2010,0.006726457,0.014013453,0.30661435,0.219170404,0.040358744,0,0.130044843,0,0,0.045964126,0,0,0,0.148200423,0.056053812,0.143965517,0.185667752,0.070385126,0.236445783,2265,0.933774834,0.034437086,0.001766004,0.014128035,0.033995585,0,0.01589404,0.518322296,0.481677704,0.130242826,0.106401766,0.124503311,0.138631347,0.152759382,0.098454746,0.105518764,0.090507726,8817.707102,26.45,45.12037936,2267,2.506140273,30.27146008,8817.707102,26.45,45.12037936,2267,2.506140273,30.27146008,8817.707102,26.45,45.12037936,2267,2.506140273,30.27146008,8817.707102,26.45,45.12037936,2267,2.506140273,30.27146008
